Invoice_ID,Date,Customer_ID,Product_ID,Employee_ID,Quantity,Payment_Mode,Discount_%,Revenue,Profit
INV00001,2025-11-29,C0182,P011,E003,3,Debit Card,20,5834.4,836.4
INV00002,2025-07-30,C0798,P125,E003,1,UPI,0,2706.0,1079.0
INV00003,2025-12-01,C0150,P229,E004,3,UPI,0,1398.0,375.0
INV00004,2025-06-13,C0349,P066,E004,3,UPI,15,2124.15,432.15
INV00005,2025-09-13,C0793,P084,E003,1,UPI,0,683.0,196.0
INV00006,2025-03-05,C0476,P203,E004,3,UPI,20,1168.8,220.8
INV00007,2025-12-02,C0096,P064,E001,3,Credit Card,20,5203.2,1432.2
INV00008,2025-11-24,C0247,P131,E001,2,UPI,5,1455.4,533.4
INV00009,2025-02-26,C0270,P051,E002,1,Cash,15,2376.6,592.6
INV00010,2025-10-18,C0553,P169,E003,1,UPI,10,2105.1,585.1
INV00011,2025-10-10,C0157,P166,E002,1,UPI,0,1151.0,457.0
INV00012,2025-09-23,C0248,P127,E001,3,UPI,5,5338.05,1570.05
INV00013,2025-10-14,C0530,P055,E001,2,Cash,15,2356.2,688.2
INV00014,2025-07-04,C0394,P220,E002,3,UPI,15,5612.55,1385.55
INV00015,2025-06-02,C0372,P217,E001,2,Credit Card,15,2221.9,513.9
INV00016,2025-05-26,C0176,P144,E001,3,UPI,10,5853.6,1089.6
INV00017,2025-10-29,C0272,P054,E004,3,Debit Card,15,2190.45,573.45
INV00018,2025-12-21,C0720,P209,E003,2,Cash,15,4612.1,1302.1
INV00019,2025-05-20,C0743,P165,E003,1,UPI,20,736.8,111.8
INV00020,2025-12-30,C0713,P164,E004,1,UPI,15,2268.65,638.65
INV00021,2025-02-19,C0516,P159,E003,1,UPI,20,1323.2,359.2
INV00022,2025-07-22,C0212,P065,E004,1,UPI,20,724.0,206.0
INV00023,2025-09-25,C0093,P232,E003,2,UPI,0,1284.0,504.0
INV00024,2025-12-02,C0510,P072,E003,1,Credit Card,15,1495.15,336.15
INV00025,2025-12-19,C0129,P221,E001,2,UPI,0,2120.0,830.0
INV00026,2025-02-04,C0620,P099,E002,1,UPI,20,2333.6,585.6
INV00027,2025-09-21,C0623,P244,E003,1,Cash,20,2202.4,583.4
INV00028,2025-05-19,C0354,P097,E001,1,Credit Card,5,1897.15,565.15
INV00029,2025-03-21,C0197,P142,E002,2,UPI,15,1711.9,461.9
INV00030,2025-11-05,C0431,P116,E004,2,Cash,20,3096.0,514.0
INV00031,2025-03-02,C0168,P027,E004,1,UPI,10,1030.5,216.5
INV00032,2025-01-03,C0286,P003,E002,1,Credit Card,5,455.05,176.05
INV00033,2025-01-20,C0501,P186,E002,3,UPI,20,3283.2,643.2
INV00034,2025-10-30,C0054,P064,E003,1,Cash,20,1734.4,477.4
INV00035,2025-06-01,C0682,P142,E001,1,UPI,20,805.6,180.6
INV00036,2025-03-22,C0162,P244,E004,3,UPI,0,8259.0,3402.0
INV00037,2025-03-29,C0122,P094,E003,3,UPI,20,4250.4,527.4
INV00038,2025-02-01,C0203,P117,E001,2,Cash,0,854.0,242.0
INV00039,2025-09-28,C0015,P053,E004,2,Debit Card,20,3163.2,699.2
INV00040,2025-12-22,C0536,P246,E002,2,UPI,10,1224.0,444.0
INV00041,2025-08-29,C0436,P016,E001,3,Credit Card,10,1768.5,481.5
INV00042,2025-03-02,C0542,P124,E002,1,UPI,10,1552.5,457.5
INV00043,2025-09-16,C0430,P021,E001,3,UPI,15,1756.95,298.95
INV00044,2025-08-21,C0720,P229,E002,1,Cash,10,419.4,78.4
INV00045,2025-01-19,C0091,P090,E001,2,UPI,10,1288.8,348.8
INV00046,2025-07-02,C0070,P163,E004,2,UPI,20,1289.6,97.6
INV00047,2025-08-20,C0241,P052,E002,3,UPI,15,4095.3,960.3
INV00048,2025-05-21,C0227,P049,E001,1,UPI,10,1217.7,268.7
INV00049,2025-05-05,C0692,P102,E001,2,UPI,5,915.8,269.8
INV00050,2025-01-03,C0144,P244,E004,3,UPI,5,7846.05,2989.05
INV00051,2025-05-08,C0212,P064,E002,3,UPI,5,6178.8,2407.8
INV00052,2025-03-21,C0627,P129,E003,1,UPI,15,2467.55,752.55
INV00053,2025-09-15,C0072,P039,E002,1,UPI,0,2247.0,633.0
INV00054,2025-04-29,C0257,P051,E002,2,UPI,20,4473.6,905.6
INV00055,2025-06-14,C0608,P148,E003,2,UPI,0,3952.0,1302.0
INV00056,2025-01-15,C0475,P247,E002,3,Debit Card,0,1836.0,591.0
INV00057,2025-10-18,C0644,P066,E003,2,UPI,5,1582.7,454.7
INV00058,2025-11-04,C0469,P117,E002,1,UPI,0,427.0,121.0
INV00059,2025-11-30,C0603,P248,E003,3,UPI,10,5545.8,1630.8
INV00060,2025-04-14,C0052,P032,E001,3,Credit Card,15,5867.55,1439.55
INV00061,2025-10-13,C0625,P058,E002,1,Cash,0,1398.0,418.0
INV00062,2025-09-08,C0248,P199,E001,2,UPI,10,986.4,330.4
INV00063,2025-07-14,C0104,P233,E002,3,UPI,0,2850.0,1083.0
INV00064,2025-09-03,C0597,P171,E002,1,UPI,20,947.2,210.2
INV00065,2025-04-10,C0691,P219,E004,2,Cash,5,1890.5,582.5
INV00066,2025-11-03,C0711,P200,E002,2,UPI,20,2038.4,258.4
INV00067,2025-01-19,C0165,P021,E002,2,Credit Card,10,1240.2,268.2
INV00068,2025-05-01,C0416,P191,E001,3,UPI,15,6025.65,1768.65
INV00069,2025-02-21,C0230,P040,E003,3,UPI,15,4258.5,880.5
INV00070,2025-09-20,C0082,P021,E001,1,UPI,20,551.2,65.2
INV00071,2025-02-23,C0574,P145,E004,2,UPI,0,4058.0,1402.0
INV00072,2025-06-10,C0355,P136,E004,2,UPI,0,2886.0,882.0
INV00073,2025-04-27,C0742,P199,E002,2,Cash,10,986.4,330.4
INV00074,2025-10-10,C0327,P119,E004,2,Cash,0,3658.0,1144.0
INV00075,2025-09-19,C0387,P180,E003,2,UPI,10,4374.0,972.0
INV00076,2025-02-17,C0760,P226,E002,2,Cash,0,3394.0,1164.0
INV00077,2025-08-31,C0024,P136,E004,1,UPI,0,1443.0,441.0
INV00078,2025-07-22,C0564,P085,E002,3,Debit Card,10,2627.1,728.1
INV00079,2025-09-27,C0088,P176,E004,2,Credit Card,10,1240.2,230.2
INV00080,2025-01-09,C0469,P164,E004,1,Credit Card,5,2535.55,905.55
INV00081,2025-10-05,C0582,P187,E004,2,Debit Card,15,4882.4,1444.4
INV00082,2025-03-20,C0404,P217,E004,3,UPI,0,3921.0,1359.0
INV00083,2025-09-27,C0713,P138,E004,1,Credit Card,5,2642.9,937.9
INV00084,2025-08-26,C0113,P111,E002,2,UPI,5,1565.6,457.6
INV00085,2025-10-06,C0287,P232,E002,2,Debit Card,20,1027.2,247.2
INV00086,2025-04-21,C0514,P194,E003,3,UPI,5,5523.3,2019.3
INV00087,2025-08-20,C0394,P188,E001,3,UPI,0,8700.0,3711.0
INV00088,2025-04-09,C0797,P016,E004,3,UPI,5,1866.75,579.75
INV00089,2025-04-26,C0134,P174,E003,3,Cash,10,4509.0,1431.0
INV00090,2025-08-25,C0682,P126,E001,2,UPI,15,1292.0,326.0
INV00091,2025-04-09,C0023,P242,E001,2,UPI,15,952.0,310.0
INV00092,2025-10-08,C0562,P123,E004,1,Debit Card,15,2169.2,655.2
INV00093,2025-06-09,C0442,P091,E001,1,Cash,15,2334.95,592.95
INV00094,2025-02-01,C0026,P186,E002,2,UPI,0,2736.0,976.0
INV00095,2025-12-20,C0381,P061,E004,2,Debit Card,5,3315.5,1219.5
INV00096,2025-01-02,C0576,P086,E002,3,UPI,0,2475.0,762.0
INV00097,2025-03-29,C0276,P019,E004,1,Debit Card,0,1714.0,509.0
INV00098,2025-10-02,C0041,P207,E002,2,Credit Card,10,5018.4,1772.4
INV00099,2025-02-16,C0253,P140,E004,1,UPI,15,897.6,142.6
INV00100,2025-03-20,C0331,P120,E004,1,Debit Card,0,2438.0,655.0
INV00101,2025-05-30,C0767,P194,E002,1,Cash,5,1841.1,673.1
INV00102,2025-09-23,C0317,P122,E004,2,UPI,5,950.0,338.0
