Invoice_ID,Date,Customer_ID,Product_ID,Employee_ID,Quantity,Payment_Mode,Discount_%,Revenue,Profit
INV00001,2025-11-29,C0596,P111,E003,3,UPI,15,2101.2,439.2
INV00002,2025-10-28,C0637,P049,E003,2,UPI,15,2300.1,402.1
INV00003,2025-08-06,C0414,P069,E001,2,Cash,0,4106.0,1418.0
INV00004,2025-03-16,C0613,P011,E003,2,UPI,5,4618.9,1286.9
INV00005,2025-06-06,C0693,P003,E001,2,Credit Card,10,862.2,304.2
INV00006,2025-08-29,C0632,P119,E003,1,UPI,15,1554.65,297.65
INV00007,2025-11-05,C0276,P101,E001,2,UPI,0,1778.0,522.0
INV00008,2025-03-25,C0090,P191,E002,2,UPI,20,3780.8,942.8
INV00009,2025-10-13,C0600,P126,E003,1,UPI,0,760.0,277.0
INV00010,2025-05-05,C0029,P094,E003,1,UPI,20,1416.8,175.8
INV00011,2025-12-23,C0220,P034,E002,2,Debit Card,5,1677.7,607.7
INV00012,2025-11-11,C0482,P161,E001,1,UPI,5,2387.35,751.35
INV00013,2025-11-15,C0724,P239,E003,3,UPI,5,2442.45,780.45
INV00014,2025-01-15,C0467,P213,E001,2,Credit Card,5,2405.4,807.4
INV00015,2025-08-02,C0076,P083,E004,1,UPI,5,1101.05,245.05
INV00016,2025-07-19,C0781,P062,E001,3,UPI,5,6623.4,1901.4
INV00017,2025-04-02,C0611,P117,E003,2,UPI,10,768.6,156.6
INV00018,2025-11-04,C0622,P081,E001,3,Cash,10,5877.9,2115.9
INV00019,2025-08-29,C0083,P132,E001,2,UPI,0,3226.0,1334.0
INV00020,2025-02-28,C0698,P081,E002,3,UPI,5,6204.45,2442.45
INV00021,2025-06-02,C0171,P151,E001,2,Cash,10,2694.6,944.6
INV00022,2025-08-16,C0369,P090,E002,2,UPI,10,1288.8,348.8
INV00023,2025-11-25,C0599,P009,E001,1,UPI,20,2134.4,472.4
INV00024,2025-04-13,C0147,P077,E002,3,UPI,10,5780.7,1598.7
INV00025,2025-02-15,C0161,P019,E004,2,UPI,5,3256.6,846.6
INV00026,2025-09-26,C0041,P230,E001,3,UPI,15,1142.4,347.4
INV00027,2025-02-17,C0512,P089,E003,3,UPI,20,1728.0,156.0
INV00028,2025-01-31,C0063,P142,E003,1,UPI,10,906.3,281.3
INV00029,2025-12-28,C0312,P066,E001,2,UPI,20,1332.8,204.8
INV00030,2025-04-02,C0791,P210,E003,1,UPI,0,1473.0,501.0
INV00031,2025-05-27,C0227,P060,E002,1,Credit Card,15,2183.65,460.65
INV00032,2025-11-19,C0388,P245,E002,2,Credit Card,20,2681.6,485.6
INV00033,2025-11-07,C0033,P006,E004,3,UPI,10,2605.5,901.5
INV00034,2025-03-10,C0449,P238,E003,3,UPI,5,3001.05,1009.05
INV00035,2025-11-29,C0296,P069,E002,3,UPI,0,6159.0,2127.0
INV00036,2025-04-30,C0252,P246,E001,3,Credit Card,5,1938.0,768.0
INV00037,2025-01-23,C0391,P173,E001,2,UPI,0,3548.0,1226.0
INV00038,2025-03-25,C0659,P101,E004,1,Credit Card,0,889.0,261.0
INV00039,2025-12-02,C0781,P195,E004,2,Cash,20,2688.0,676.0
INV00040,2025-05-26,C0498,P024,E004,3,UPI,10,1965.6,537.6
INV00041,2025-03-03,C0399,P055,E001,2,UPI,5,2633.4,965.4
INV00042,2025-12-21,C0695,P207,E003,3,UPI,20,6691.2,1822.2
